Composer,Mass
P. de la Rue,Missa Almana
P. de la Rue,Missa Assumpta est Maria
P. de la Rue,Missa Ave Sanctissima Maria
P. de la Rue,Missa Conceptio Tua
P. de la Rue,Missa de Beata virgine
P. de la Rue,Missa de Feria
P. de la Rue,Missa de Sancta Anna
P. de la Rue,Missa de Sancto Antonio
P. de la Rue,Missa de Sancto Job
P. de la Rue,Missa de Septem doloribus
P. de la Rue,Missa de virginibus
P. de la Rue,Missa Incessament
P. de la Rue,Missa Inviolata
P. de la Rue,Missa Ista est speciosa
P. de la Rue,Missa Iste confessor
P. de la Rue,Missa L'homme arme I
P. de la Rue,Missa L'homme arme II
P. de la Rue,Missa Nunca fue pena mayor
P. de la Rue,Missa O gloriosa domina
P. de la Rue,Missa O salutaris hostia
P. de la Rue,Missa Pascale
P. de la Rue,Missa Pro fidelibus defunctis
P. de la Rue,Missa Sancta dei genitrix
P. de la Rue,Missa Sine Nomine I
P. de la Rue,Missa Sub tuum presidium
P. de la Rue,Missa Tandernaken
P. de la Rue,Missa Tous les regretz
Josquin Des Pres,Credo de tous biens playne
Josquin Des Pres,Missa Ave Maris Stella
Josquin Des Pres,Missa de Beata virgine
Josquin Des Pres,Missa Gaudeamus
Josquin Des Pres,Missa Hercules dux ferrariae
Josquin Des Pres,Missa L'homme arme sexti toni
Josquin Des Pres,Missa L'homme arme super voces musicales
Josquin Des Pres,Missa La sol fa re mi
Josquin Des Pres,Missa Malheur me bat
Josquin Des Pres,Missa Pange Lingua
Josquin Des Pres,Missa Sine nomine
Josquin Des Pres (not secure),Credo vilayge I
Josquin Des Pres (not secure),Missa Ad fugam
Josquin Des Pres (not secure),Missa Allez regretz I
Josquin Des Pres (not secure),Missa Da pacem
Josquin Des Pres (not secure),Missa di dadi
Josquin Des Pres (not secure),Missa L'ami baudichon
Josquin Des Pres (not secure),Missa L'homme arme quarti toni
Josquin Des Pres (not secure),Missa Mater patris
Josquin Des Pres (not secure),Missa Mi mi
Josquin Des Pres (not secure),Missa Missus est Gabriel angelus
Josquin Des Pres (not secure),Missa Quem dicunt homines
Josquin Des Pres (not secure),Sanctus De passione
Josquin Des Pres (not secure),Missa Sub tuum presidium